OBJECTID,GlobalID,Municipality,MunicipalityNumber,PlanningRegion,CouncilOfGovernment,MetropolitanPlanningOrganizatio,County,DEMHSRegion,StatePoliceTroop,DOTMunicipalityNumber,DOTConstructionDistrict,DOTHighwayOperationsCenter,TransportationManagementArea,OzoneDesignatedArea,PM25DesignatedArea,CarbonMonoxideDesignatedArea,TransitDistrict,SquareMiles,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
1,6ffc5627-afe3-47ef-9ba3-8b14892a7639,Andover,1,Capital,Capital Region,Capital Region,Tolland,3,K,1,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,15.71367366,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,438072079.376526,86301.9761086543
2,8b777c65-0cab-42ed-8bab-86eb34d0faa9,Ansonia,2,Naugatuck Valley,Naugatuck Valley,Greater Bridgeport Valley,New Haven,2,I,2,4,Newington,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Valley,6.24905295,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,174213597.549805,53485.5076924289
3,a569bc2d-8954-4fc5-bfcb-13eb80f4a89c,Ashford,3,Northeastern Connecticut,Northeastern CT,Northeastern CT,Windham,4,C,3,2,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,Windham Regional,39.8070438,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1109756689.26837,141927.322050989
4,12d25932-9b79-4247-a55c-80fd8f3e0c26,Avon,4,Capital,Capital Region,Capital Region,Hartford,3,H,4,4,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,23.40710622,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,652552669.573914,108102.697128429
5,9b358c64-5321-41a8-8289-76b4e940054e,Barkhamsted,5,Northwest Hills,Northwest Hills,Northwest Hills,Litchfield,5,B,5,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,2,Northwestern CT,38.70919179,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,1079150331.78851,135781.046393351
6,a075a0e1-db06-4b23-8424-7879b0a3896a,Beacon Falls,6,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,New Haven,5,I,6,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,,9.86355521,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,274980137.285706,79687.056911039
7,d0669105-ae83-496a-a18f-2908eca9156d,Berlin,7,Capital,Capital Region,Capital Region,Hartford,3,H,7,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,27.12346229,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,756158730.716125,136418.069591275
8,d4856677-6b98-42b2-82e5-a7c5e7166544,Bethany,8,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,I,8,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,21.39237402,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,596385159.579529,111760.393867228
9,0d562605-7d38-4b49-8a69-97962da58dfa,Bethel,9,Western Connecticut,Western CT,Housatonic Valley,Fairfield,5,A,9,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Housatonic Area Regional,16.94347443,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,472356957.352966,97561.798434852
10,022dac73-2cc9-46ba-a508-fcfb4786a5e5,Bethlehem,10,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,Litchfield,5,L,10,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,3,,19.64447599,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,547656559.141235,94009.243845406
11,80eb6e0d-af21-4060-b6f9-5993328e0896,Bloomfield,11,Capital,Capital Region,Capital Region,Hartford,3,H,11,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,Greater Hartford,26.37403856,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,735265996.138977,129595.726278003
12,3ff5c4a7-d7e9-426e-9990-ba2cbd0ae15a,Bolton,12,Capital,Capital Region,Capital Region,Tolland,3,K,12,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,14.73826571,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,410879266.539246,84021.0299862976
13,276e5340-96aa-4845-a51d-a86c70d2bed2,Bozrah,13,Southeastern Connecticut,Southeastern CT,Southeastern CT,New London,4,K,13,2,Bridgeport,Southeastern,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,5,,20.28448628,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,565499022.062134,101615.480517018
14,c687afe3-5f2d-4fe3-8a15-c8da42a7fdfa,Branford,14,South Central Connecticut,South Central Regional,South Central Region,New Haven,2,F,14,3,Bridgeport,New Haven,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,3,Greater New Haven,21.96629555,CTDOT_OpenData,2023/08/07 13:05:54.033+00,Gregory.Ciparelli_CTDOT,2023/10/06 18:18:19.404+00,612506602.727478,298509.101594279
15,41f1be20-8486-41e4-8e17-0bdfef2c8501,Bridgeport,15,Greater Bridgeport,CT Metropolitan,Greater Bridgeport Valley,Fairfield,1,G,15,3,Bridgeport,Bridgeport - Stamford,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Greater Bridgeport,16.35932297,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,456071749.140045,186092.491799908
16,5a64e8cd-91ef-47a4-8dd9-05a382c9bc3c,Bridgewater,16,Western Connecticut,Western CT,Housatonic Valley,Litchfield,5,A,16,4,Newington,,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,1,,17.35661624,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,483874689.879272,110214.364128488
17,fb027824-91d3-476d-bab6-e246b39740db,Bristol,17,Naugatuck Valley,Naugatuck Valley,Central Naugatuck Valley,Hartford,3,L,17,1,Newington,Hartford,Greater CT Ozone Non-Attainment Area,PM 2.5 Attainment Area,4,,26.82533317,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,747847367.859192,113541.759882339
18,1b16e084-c033-4bb4-8a5c-f46675d57ab6,Brookfield,18,Western Connecticut,Western CT,Housatonic Valley,Fairfield,5,A,18,4,Newington,,NY-NJ-LI Ozone Non-Attainment Area,PM 2.5 Attainment - Maintenance Area,1,Housatonic Area Regional,20.35599604,CTDOT_OpenData,2023/08/07 13:05:54.033+00,CTDOT_OpenData,2023/08/07 13:05:54.033+00,567492599.562622,113347.007302646
